id,ra,dec,sp_mag_u,sp_mag_g,sp_mag_r,sp_mag_i,sp_mag_z,sp_mag_F378,sp_mag_F395,sp_mag_F410,sp_mag_F430,sp_mag_F515,sp_mag_F660,sp_mag_F861,sp_mag_err_u,sp_mag_err_g,sp_mag_err_r,sp_mag_err_i,sp_mag_err_z,sp_mag_err_F378,sp_mag_err_F395,sp_mag_err_F410,sp_mag_err_F430,sp_mag_err_F515,sp_mag_err_F660,sp_mag_err_F861,sp_A,sp_B,sp_PA,sp_radius_petro,sp_radius_50,sp_radius_90,sp_photoz,sp_photoz_odds,ls_mag_g,ls_mag_r,ls_mag_i,ls_mag_z,ls_type,lit_redshift,lit_redshift_err,lit_source,lit_velocity,lit_velocity_err,velocity_offset,dist_proj,dist
19,160.99620921751392,-29.551092521500017,17.656836,16.71635,16.233824,16.032022,15.842525,17.48631,17.564348,17.504625,16.958794,16.525614,15.978476,15.983941,0.06478044,0.015591608,0.011518983,0.0153037505,0.025587339,0.08145239,0.13327608,0.11358746,0.061239295,0.036340546,0.0117817875,0.035618514,0.0015872936,0.0015098933,51.226288,5.9399996,14.659242,30.1662,0.01567347,0.9952259,16.457884,15.933071,15.690836,15.578816,SER,0.01119,,VizieR_VII/259/spectra,,,,2.5754897036430746,
20,160.86182,-25.316536,17.016031,16.467918,16.001076,15.712778,15.683612,16.942791,17.117107,17.008818,16.918394,16.128832,15.84478,15.562935,0.06237738,0.023112008,0.016357755,0.019005872,0.03582611,0.08166693,0.1469347,0.12341775,0.10656366,0.041749947,0.016254168,0.035729825,0.0018568746,0.0013288792,-60.424217,7.2599993,18.206707,44.859646,0.012408163,0.97765005,,,,,,0.012715,0.000183,NED_20096dF...C...0000J,3811.861,54.86202,23.684,2.650655,2.492232
21,160.691550599667,-29.88565928644772,17.799505,16.760582,16.347311,16.119265,16.060003,17.200476,17.493979,16.729248,17.065174,16.569456,16.21902,16.15951,0.0628086,0.01444548,0.011292733,0.014906059,0.02763081,0.055481162,0.111383684,0.04938111,0.05982325,0.033639997,0.013006718,0.037380688,0.0012791274,0.00081840175,8.318866,5.9399996,9.498689,20.29292,0.014163266,0.995691,,,,,,0.33577,,VizieR_VII/259/spectra,,,,2.7065875611174595,
22,159.99347,-30.193048,14.897527,13.506597,12.77962,12.410433,12.141823,14.576318,14.454866,14.048361,13.90081,13.294256,12.563911,12.253971,0.04415922,0.0017044585,0.0011262553,0.0011070557,0.0015382938,0.026011454,0.008691946,0.005618008,0.0045362124,0.003125473,0.001128313,0.0022318198,0.003064951,0.0021929694,72.46978,3.3,11.585661,42.138298,0.010489796,0.99741566,,,,,,0.014563,4e-05,NED_1998A&AS..130..333T,4365.878,11.991698,570.788,2.76704,2.601661
23,158.847148,-24.753915,16.30322,15.577461,14.886967,14.762707,14.563567,16.539055,15.648592,15.108162,15.171996,15.596311,14.960783,15.258623,0.50941783,0.045718398,0.023838961,0.026989117,0.034320276,0.30350477,0.099785246,0.06450678,0.06891522,0.09299782,0.031151848,0.083596684,0.0044307057,0.0018303156,-78.961235,6.5999994,17.696264,26.950226,0.0075102043,0.9971757,14.044973,13.593586,13.367852,13.280864,SER,,,,,,,2.781535405727658,
24,158.8342287315211,-24.729593368498623,17.078495,18.293205,17.531826,17.372377,17.723038,17.263577,17.896116,17.979408,17.864056,17.351536,16.71276,17.198557,0.16918693,0.1724426,0.084350236,0.09267723,0.19460313,0.093470804,0.2446489,0.28208604,0.25497827,0.14452817,0.048373275,0.15424928,0.0008462459,0.0005280732,58.984764,10.56,7.0793924,12.782342,0.0075102043,0.99618846,17.633038,17.51108,17.39283,17.621763,SER,,,,,,,2.807080200738537,
25,159.812061,-30.2976682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012529,1.3e-05,NED_1998A&AS..130..333T,3756.1,3.897302,-31.381,2.833191,2.663858
26,160.0186286102143,-30.26755016981888,15.000951,14.036669,13.506605,13.254517,13.047586,14.6667,14.492545,14.375782,14.278023,13.860979,13.201963,13.148761,0.22136246,0.0029129295,0.0022470672,0.0025327473,0.003942655,0.012989964,0.0104235085,0.00866054,0.0072662337,0.0056348615,0.002045394,0.005690415,0.0035316816,0.0018111685,83.39745,5.2799997,21.534885,46.65518,0.010755102,0.99853253,14.101384,13.506686,13.237965,13.000348,SER,0.011335,3e-05,NED_1998A&AS..130..333T,3398.148,8.993774,-384.867,2.84437,2.67437
27,158.2102902024167,-30.26662572817713,15.708063,14.640726,14.129429,13.958903,13.781609,15.227964,15.123465,14.957931,14.88702,14.421852,13.972499,13.845003,0.03457465,0.0070239226,0.00506105,0.007325709,0.012531493,0.033236466,0.04934576,0.036802877,0.03133638,0.016879512,0.005424259,0.013450969,0.0036199335,0.0026767817,5.0589013,5.9399996,28.97199,56.83261,0.017836737,0.85503113,14.620372,14.025726,13.772309,13.579073,SER,0.011628,2e-05,NED_1998A&AS..130..333T,3485.987,5.995849,-298.124,2.88498,2.712553
28,160.79025,-30.05009,16.157454,14.9547,14.493894,14.264195,14.125242,15.542693,15.873458,15.340239,14.57066,14.699584,14.198292,14.146433,0.036751345,0.0073246914,0.0054725944,0.0072417604,0.012457065,0.032091357,0.06735034,0.036831133,0.016229702,0.01648915,0.0054253596,0.015738696,0.002882599,0.0025147758,-46.229557,7.2599993,25.975014,76.92059,0.011836735,0.9988221,14.52954,13.981676,13.742545,13.572455,SER,0.010683,2.7e-05,NED_2006HIPAS.C...0000:,3202.683,8.094396,-577.893,2.899996,2.726671
29,160.205009,-24.6676042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.003037925611636,
30,162.27325,-29.37515,15.980364,15.172564,14.839659,14.746229,14.66363,15.559466,15.453214,15.343645,15.302376,14.985078,14.504132,14.70897,0.009200976,0.0030042771,0.0026984264,0.0038502684,0.006727621,0.009291609,0.0141651295,0.011469944,0.009809844,0.006131102,0.0023480502,0.007847232,0.0021240825,0.001788946,-60.526802,5.2799997,14.620227,34.788845,0.011081632,0.99783105,15.15549,14.792003,14.583055,14.52489,SER,0.014357,0.00015,NED_20096dF...C...0000J,4304.12,44.968869,509.801,3.300667,3.103395
